prerequisite_course,target_course,relation_context
DOC 2,COMM 114E,OR/complex
POLI 40,COMM 114E,OR/complex
COMM 10,COMM 114F,AND
COMM 10,COMM 114G,AND
COMM 10,COMM 114I,AND
COMM 10,COMM 114K,AND
COMM 10,COMM 114M,AND
COMM 10,COMM 114N,AND
COMM 10,COMM 114P,AND
COMM 10,COMM 114T,AND
COMM 100A,COMM 114T,AND
COMM 10,COMM 120I,AND
COMM 100A,COMM 120I,AND
COMM 10,COMM 120M,AND
COMM 100A,COMM 120M,AND
COMM 10,COMM 120N,AND
COMM 100A,COMM 120N,AND
COMM 10,COMM 120P,AND
COMM 100A,COMM 120P,AND
COGS 1,COMM 120W,OR/complex
COMM 10,COMM 120W,OR/complex
ESYS 10,COMM 120W,OR/complex
USP 1,COMM 120W,OR/complex
COMM 10,COMM 124B,AND
COMM 100A,COMM 124B,AND
COMM 10,COMM 126,AND
COMM 100A,COMM 126,AND
COMM 10,COMM 127,AND
COMM 100A,COMM 127,AND
COMM 10,COMM 129,AND
COMM 100A,COMM 129,AND
COMM 10,COMM 131,AND
COMM 100A,COMM 131,AND
COMM 10,COMM 132,AND
COMM 100A,COMM 132,AND
COMM 10,COMM 133,AND
COMM 100A,COMM 133,AND
COMM 10,COMM 134,AND
COMM 100A,COMM 134,AND
COMM 10,COMM 135,AND
COMM 100A,COMM 135,AND
COMM 10,COMM 136,AND
COMM 100A,COMM 136,AND
COMM 10,COMM 137,AND
COMM 100A,COMM 137,AND
COMM 10,COMM 138,AND
COMM 100A,COMM 138,AND
COMM 10,COMM 140,AND
COMM 100A,COMM 140,AND
COMM 10,COMM 143,AND
COMM 100A,COMM 143,AND
COMM 10,COMM 144,AND
COMM 100A,COMM 144,AND
COMM 10,COMM 145,AND
COMM 100A,COMM 145,AND
COMM 10,COMM 146,AND
COMM 100A,COMM 146,AND
COMM 10,COMM 151,AND
COMM 100A,COMM 151,AND
COMM 10,COMM 153,AND
COMM 100A,COMM 153,AND
COMM 10,COMM 155,AND
COMM 100A,COMM 155,AND
COMM 10,COMM 158,AND
COMM 100A,COMM 158,AND
COMM 10,COMM 159,AND
COMM 100A,COMM 159,AND
COMM 10,COMM 160,AND
COMM 100A,COMM 160,AND
COMM 10,COMM 162,AND
COMM 100A,COMM 162,AND
COMM 10,COMM 163,AND
COMM 100A,COMM 163,AND
COMM 10,COMM 164,AND
COMM 100A,COMM 164,AND
COMM 10,COMM 166,AND
COMM 100A,COMM 166,AND
COMM 10,COMM 168,AND
COMM 100A,COMM 168,AND
COMM 10,COMM 170,AND
COMM 100A,COMM 170,AND
COMM 10,COMM 171,AND
COMM 100A,COMM 171,AND
COMM 10,COMM 172,AND
COMM 100A,COMM 172,AND
COMM 10,COMM 173,AND
COMM 100A,COMM 173,AND
COMM 10,COMM 174,AND
COMM 100A,COMM 174,AND
COMM 10,COMM 175,AND
COMM 100A,COMM 175,AND
COMM 10,COMM 176,AND
COMM 100A,COMM 176,AND
COMM 10,COMM 177,AND
COMM 100A,COMM 177,AND
COMM 10,COMM 180,AND
COMM 100A,COMM 180,AND
COMM 10,COMM 181,AND
COMM 100A,COMM 181,AND
COMM 10,COMM 182,AND
COMM 100A,COMM 182,AND
COMM 10,COMM 183,AND
COMM 100A,COMM 183,AND
COMM 10,COMM 190,AND
CSE 12,CSE 100,OR/complex
CSE 15L,CSE 100,OR/complex
CSE 21,CSE 100,OR/complex
CSE 30,CSE 100,OR/complex
CSE 5A,CSE 100,OR/complex
ECE 15,CSE 100,OR/complex
